,SYMBOL
0,20MICRONS
2,3IINFOLTD
3,3MINDIA
4,3PLAND
7,5PAISA
11,676GS2061
12,772GS2049
14,A2ZINFRA
16,AAREYDRUGS
18,AARTIDRUGS
19,AARTIIND
22,AARVI
23,AAVAS
25,ABB
26,ABBOTINDIA
27,ABCAPITAL
28,ABFRL
30,ABSLAMC
31,ABSLBANETF
32,ABSLNN50ET
33,ACC
34,ACCELYA
35,ACCURACY
36,ACE
37,ACRYSIL
38,ADANIENT
39,ADANIGREEN
40,ADANIPORTS
41,ADANIPOWER
42,ADANITRANS
43,ADFFOODS
45,ADORWELD
47,ADSL
48,ADVANIHOTR
49,ADVENZYMES
50,AEGISCHEM
51,AFFLE
52,AGARIND
53,AGCNET
54,AGRITECH
55,AGROPHOS
56,AHLADA
57,AHLEAST
58,AHLUCONT
59,AHLWEST
63,AIRTELPP
66,AJMERA
67,AJOONI
68,AJRINFRA
70,AKG
71,AKSHARCHEM
72,AKSHOPTFBR
75,ALBERTDAVD
76,ALEMBICLTD
77,ALICON
78,ALKALI
79,ALKEM
80,ALKYLAMINE
81,ALLCARGO
82,ALLSEC
83,ALMONDZ
84,ALOKINDS
86,ALPHAGEO
88,AMARAJABAT
92,AMBIKCO
93,AMBUJACEM
95,AMIORG
96,AMJLAND
97,AMRUTANJAN
98,ANANTRAJ
99,ANDHRACEMT
100,ANDHRAPAP
101,ANDHRSUGAR
102,ANDREWYU
103,ANGELONE
104,ANIKINDS
106,ANMOL
107,ANSALAPI
108,ANSALHSG
109,ANTGRAPHIC
110,ANUP
111,ANURAS
112,APARINDS
114,APCOTEXIND
115,APEX
116,APLAPOLLO
117,APLLTD
118,APOLLO
119,APOLLOHOSP
120,APOLLOPIPE
121,APOLLOTYRE
123,APTECHT
124,APTUS
126,ARCHIES
127,ARENTERP
128,ARIES
129,ARIHANT
130,ARIHANTCAP
132,ARMANFIN
133,AROGRANITE
134,ARROWGREEN
135,ARSHIYA
136,ARSSINFRA
137,ARTEMISMED
138,ARTNIRMAN
140,ARVIND
141,ARVINDFASN
142,ARVSMART
143,ASAHIINDIA
144,ASAHISONG
145,ASAL
146,ASALCBR
147,ASCOM
148,ASHAPURMIN
149,ASHIANA
150,ASHIMASYN
151,ASHOKA
152,ASHOKLEY
155,ASIANTILES
156,ASLIND
157,ASPINWALL
158,ASTEC
159,ASTERDM
161,ASTRAMICRO
163,ASTRON
164,ATFL
165,ATGL
166,ATLANTA
167,ATUL
168,ATULAUTO
169,AUBANK
170,AURIONPRO
171,AUROPHARMA
172,AURUM
173,AUSOMENT
174,AUTOAXLES
175,AUTOIND
176,AVADHSUGAR
178,AVROIND
179,AVTNPL
180,AWHCL
182,AXISBNKETF
184,AXISCADES
187,AXISHCETF
188,AXISNIFTY
189,AXISTECETF
190,AYMSYNTEX
194,BAJAJCON
195,BAJAJELEC
196,BAJAJFINSV
197,BAJAJHIND
198,BAJAJHLDNG
199,BAJFINANCE
200,BALAJITELE
201,BALAMINES
202,BALAXI
204,BALKRISIND
205,BALLARPUR
206,BALMLAWRIE
209,BANARBEADS
210,BANARISUG
212,BANDHANBNK
213,BANG
215,BANKBARODA
216,BANKBEES
217,BANKINDIA
218,BANSWRAS
219,BARBEQUE
220,BARTRONICS
221,BASF
222,BASML
223,BATAINDIA
224,BAYERCROP
225,BBL
226,BBTC
227,BBTCL
228,BCG
229,BCLIND
232,BDL
233,BEARDSELL
234,BECTORFOOD
235,BEDMUTHA
236,BEL
238,BEPL
240,BESTAGRO
241,BETA
242,BEWLTD
243,BFINVEST
244,BFUTILITIE
248,BHAGERIA
249,BHAGYANGR
250,BHAGYAPROP
251,BHANDARI
252,BHARATFORG
253,BHARATGEAR
254,BHARATRAS
255,BHARATWIRE
256,BHARTIARTL
257,BHEL
258,BIGBLOC
259,BIL
260,BINDALAGRO
261,BIOCON
262,BIOFILCHEM
264,BIRLACABLE
265,BIRLACORPN
266,BIRLAMONEY
269,BLBLIMITED
270,BLISSGVS
271,BLKASHYAP
272,BLS
273,BLUECOAST
274,BLUEDART
277,BODALCHEM
279,BOMDYEING
280,BOROLTD
281,BORORENEW
282,BOSCHLTD
283,BPCL
284,BPL
286,BRIGADE
288,BRITANNIA
291,BRNL
292,BROOKS
293,BSE
294,BSHSL
295,BSL
297,BSLNIFTY
298,BSLSENETFG
299,BSOFT
300,BURGERKING
301,BURNPUR
304,BYKE
305,CADILAHC
307,CAMLINFINE
308,CAMS
309,CANBK
310,CANDC
311,CANFINHOME
312,CANTABIL
313,CAPACITE
315,CAPTRUST
316,CARBORUNIV
317,CAREERP
318,CARERATING
319,CARTRADE
320,CASTROLIND
321,CCHHL
322,CCL
323,CDSL
324,CEATLTD
325,CEBBCO
326,CELEBRITY
327,CENTENKA
328,CENTEXT
329,CENTRALBK
330,CENTRUM
332,CENTURYPLY
333,CENTURYTEX
334,CERA
335,CEREBRAINT
336,CESC
337,CGCL
338,CGPOWER
339,CHALET
340,CHAMBLFERT
341,CHEMBOND
342,CHEMCON
343,CHEMFAB
344,CHEMPLASTS
345,CHENNPETRO
346,CHOLAFIN
349,CINELINE
350,CINEVISTA
351,CIPLA
352,CLEAN
353,CLEDUCATE
354,CLNINDIA
355,CLSEL
356,CMICABLES
357,COALINDIA
358,COASTCORP
359,COCHINSHIP
360,COFFEEDAY
361,COFORGE
362,COLPAL
365,CONCOR
366,CONFIPET
369,CONTROLPR
370,CORALFINAC
371,CORDSCABLE
372,COROMANDEL
373,COSMOFILMS
376,CPSEETF
377,CRAFTSMAN
378,CREATIVE
380,CREST
381,CRISIL
384,CTE
385,CUB
386,CUBEXTUB
387,CUMMINSIND
388,CUPID
391,CYIENT
392,DAAWAT
393,DABUR
394,DALALSTCOM
395,DALBHARAT
396,DALMIASUG
398,DANGEE
399,DATAMATICS
400,DBCORP
401,DBL
402,DBREALTY
403,DBSTOCKBRO
404,DCAL
405,DCBBANK
406,DCM
408,DCMNVL
410,DCW
411,DECCANCE
412,DEEPAKFERT
413,DEEPAKNTR
414,DEEPENR
415,DEEPINDS
416,DELPHIFX
417,DELTACORP
418,DELTAMAGNT
419,DEN
420,DENORA
422,DEVYANI
423,DFMFOODS
425,DHAMPURSUG
426,DHANBANK
431,DHANILOANS
433,DHANILOANS
435,DHARSUGAR
437,DIAMONDYD
439,DICIND
441,DIGJAMLMTD
442,DISHTV
443,DIVISLAB
444,DIXON
445,DKEGL
446,DLF
447,DLINKINDIA
448,DMART
449,DNAMEDIA
450,DODLA
451,DOLAT
452,DOLLAR
453,DONEAR
454,DPABHUSHAN
455,DPSCLTD
456,DPWIRES
458,DREDGECORP
459,DRREDDY
460,DSML
462,DSSL
465,DUDIGITAL
466,DVL
467,DWARKESH
468,DYNAMATECH
469,DYNPRO
470,E2E
471,EASEMYTRIP
472,EASTSILK
474,EBANK
475,EBBETF0423
479,EC2RG
481,ECLFINANCE
482,ECLFINANCE
483,ECLFINANCE
484,ECLFINANCE
487,ECLFINANCE
488,ECLFINANCE
489,EDELWEISS
490,EDUCOMP
493,EICHERMOT
495,EIFFL
496,EIHAHOTELS
499,EKC
501,ELECTCAST
502,ELECTHERM
503,ELGIEQUIP
504,ELGIRUBCO
506,EMAMIPAP
507,EMAMIREAL
508,EMBASSY
509,EMKAY
510,EMKAYTOOLS
511,EMMBI
512,ENDURANCE
513,ENERGYDEV
514,ENGINERSIN
515,ENIL
517,EQUITAS
518,EQUITASBNK
522,EROSMEDIA
526,ESTER
528,EVEREADY
529,EVERESTIND
530,EXCEL
531,EXCELINDUS
532,EXIDEIND
533,EXPLEOSOL
534,EXXARO
535,FACT
537,FCL
538,FCONSUMER
539,FCSSOFT
540,FDC
541,FEDERALBNK
542,FEL
543,FELDVR
544,FIEMIND
545,FILATEX
547,FINEORG
548,FINOPB
549,FINPIPE
550,FLEXITUFF
551,FLFL
552,FLUOROCHEM
553,FMGOETZE
554,FMNL
555,FOCUS
556,FOODSIN
558,FORTIS
559,FOSECOIND
560,FRETAIL
561,FSC
562,FSL
563,GABRIEL
564,GAEL
565,GAIL
568,GALLANTT
569,GALLISPAT
570,GANDHITUBE
571,GANECOS
572,GANESHBE
573,GANESHHOUC
574,GANGAFORGE
576,GARFIBRES
577,GATI
579,GAYAPROJ
580,GDL
581,GEECEE
582,GEEKAYWIRE
583,GENCON
584,GENESYS
585,GENUSPAPER
586,GENUSPOWER
587,GEOJITFSL
589,GESHIP
590,GET&D
591,GFLLIMITED
592,GFSTEELS
593,GHCL
595,GICRE
596,GILLANDERS
598,GINNIFILA
599,GIPCL
600,GKWLIMITED
602,GLAXO
603,GLENMARK
605,GLOBALVECT
606,GLOBE
607,GLOBUSSPR
608,GLS
609,GMBREW
610,GMDCLTD
611,GMMPFAUDLR
612,GMRINFRA
613,GNA
614,GNFC
615,GOACARBON
616,GOCLCORP
617,GODFRYPHLP
618,GODHA
620,GODREJCP
621,GODREJIND
622,GODREJPROP
624,GOKEX
625,GOKUL
626,GOKULAGRO
629,GOLDIAM
631,GOLDTECH
632,GOODLUCK
635,GPPL
636,GPTINFRA
637,GRANULES
639,GRASIM
641,GRAVITA
